COUNTRY,Place,Details,Class
CANADA,Biotechnology Research Institute,"Biotechnology Research Institute, part of the National Research Council of Canada, focuses on the development of bioprocesses for the prevention, remediation and monitoring of pollution, as well as the development of new biotechnology applications related to fighting climate change and achieving sustainable industrial development. BRI scientists have unique expertise in the biotreatment of contaminated soils, groundwater, sediments, air, and industrial wastewater. The Sector's multidisciplinary team of scientists and engineers works closely with the industry on the research and development of innovative environmental technologies",Biotechnology
CHINA,Cansino Bio,"Company is known for developing vector based vaccines. CanSinoBIO gained international attention for its COVID-19 vaccine, which is named Convidecia. Convidecia is a viral vector-based vaccine that uses a modified adenovirus (Ad5) to deliver genetic material that stimulates an immune response against the SARS-CoV-2 virus",Biotechnology
CHINA,Sinopharm,"Sinopharm is known for developing two inactivated virus COVID-19 vaccines. One of them is the Sinopharm BIBP COVID-19 vaccine, also known as BBIBP-CorV2. This vaccine completed Phase III trials in several countries with over 60,000 participants. It’s one of the vaccines being used in vaccination campaigns by certain countries in Asia, Africa, South America, and Europe",Biotechnology
CHINA,Sinovac Biotech,"Expert in developing various vaccines for various infectious diseases. The company has worked on vaccines for influenza, hepatitis, and other respiratory and viral infections",Biotechnology
DENMARK,Allergologisk Laboratorium Kobenhavn Abello,Specializes in the development and manufacturing of allergy immunotheraphy products for the prevention and treatment of allergy. It is one of the world's largest makers of allergy immunotheraphy products,Biotechnology
DENMARK,Novo Nordisk,"Manufacture and markets pharmaceutical product and services specifically diabetes care medications and devices. Its main product is the drug semaglutide, used to treat diabetes. Also involved with hemostasis management, growth hormone therapy, and hormone replacement therapy",Biotechnology
FRANCE,Sanofi,"French multinational pharmaceutical and healthcare company which engaged in the discovery, development, manufacturing, and marketing of a wide range of medicines and vaccines. Its portfolio Includes medicines for the treatment of cancer, rare diseases, multiple sclerosis, human vaccines for protection against various bacterial and viral diseases, and other products. The company also offers consumer healthcare products for digestion, allergy, cough, cold, flu and sinus, pain, women’s health, and vitamins, minerals, and supplements. Sanofi's R&D efforts focus on advancing a combination drug to increase the effectiveness of treatments and on advancing the formulation of new biologics to produce precision medicines",Biotechnology
GERMANY,Bayer Pharmaceuticals,"Involved in research, development and marketing prescription medications. The company focuses on therapeutic areas such as cardiology, oncology, women health, and specialty pharmaceuticals",Biotechnology
GERMANY,BioNTech,"Develops and manufactures active immunotherapies for patient-specific approaches to the treatment of diseases. It develops pharmaceutical candidates based on messenger ribonucleic acid (mRNA) for use as individualized cancer immunotherapies, as vaccines against infectious diseases and as protein replacement therapies for rare diseases, and also engineered cell therapy, novel antibodies and small molecule immunomodulators as treatment options for cancer        ",Biotechnology
GERMANY,Boehringer Ingelheim,"Engaged in the research, development, manufacturing, and marketing of pharmaceuticals for human and veterinary medicine. The company focuses on various therapeutic areas, including respiratory diseases, cardiovascular diseases, oncology, metabolic diseases, immunology, and central nervous system disorders",Biotechnology
IRELAND,Allergan,"Pharmaceutical company that acquires, develops, manufactures and markets brand name drugs and medical devices in the areas of medical aesthertics, eye care, central nervous systems, and gastroenterology. The company is the maker of Botox",Biotechnology
JAPAN,Takeda,"Patient focused, R&D driven gloval biopharmaceutical company. Area of focus inflammation, rare diseases, plasma derived therapies, oncology, neuroscience and development of vaccines against infectious diseases",Biotechnology
PAKISTAN,National Institute for Biotechnology and Genetic Engineering,"Focal point of modern biotechnology and provides a technology receiving unit to help the development of the country through applications of modern biotechnology and genetic engineering. The research programs at NIBGE are mainly aimed at improving agriculture, health, environment, and industry, and are supported by national and international financial grants",Biotechnology
POLAND,NanoVelos,Company providing a proprietary drug delivery system. It aims to develop anti-cancer therapeutics by conjugating generics and new drugs with its dextran-based nanoparticle delivery system,Biotechnology
POLAND,Bioavlee,"Creates new laboratory equipment that redefine microorganism identification and counting. The company’s technology relies on laser diffraction, where  a laser is shone on the sample to measure the unique patterns created by each type of microorganism. Using the laser, self-learning algorithms, and a reference photo database, bacteria can be identified with over 90% accuracy without having to sequence their DNA",Biotechnology
POLAND,Bowil Biotech,"Developed a unique technology for the bacterial cellulose production intended for medical devices. Focus on creating new applications for biosynthesized cellulose. The laboratories, R&D center and production plant are a highly advanced technological hub with most up to date equipment used for production of biocellulose medical devices",Biotechnology
POLAND,Celon Pharma,Integrated pharmaceutical company which conducts advanced research and manufactures modern drugs. ,Biotechnology
POLAND,Captor Therapeutics,"Biopharmaceutical company leveraging Targeted Protein Degradation (TPD) technology to discover and develop breakthrough therapeutics for high unmet medical needs
TPD revolutionizes drug development by targeting ""undruggable"" molecular targets and providing new treatment options for diseases with unmet medical needs. Captor, based in Basel, Switzerland, and Wroclaw, Poland, develops therapeutics for severe conditions like malignancies and autoimmune diseases",Biotechnology
POLAND,Mabion,"Mabion was one of the first biotech companies to be launched in Poland. Mabion develops biosimilar antibody drugs and offers manufacturing contract services. The company’s most advanced project is a biosimilar of Roche’s rituximab, an antibody used to treat blood cancer and arthritis, which is being tested in phase 3 trials. Mabion is also developing vaccine antigens as part of their collaboration with the U.S. vaccine development company Novavax",Biotechnology
POLAND,Molecure,"Molecure is an innovative biopharmaceutical company dedicated to discovering, developing and commercializing novel therapeutics for neoplastic and inflammatory diseases",Biotechnology
POLAND,Ryvu Therapeutics,clinical stage drug discovery and development biotech that is focused on developing small molecule therapies as alternatives to current cancer treatments. The most advanced program in their pipeline is a targeted therapy for acute myeloid leukemia currently in phase 2 trials in partnership with the pharma company Menarini. Ryvu’s other lead candidate is in phase 1b trials with the potential to treat blood cancer and solid tumors,Biotechnology
POLAND,Pure Biologics,"Pure Biologics develops antibody drugs as well as DNA aptamers. DNA molecules that, much like antibodies, bind to a specific target. The company’s most advanced program is an aptamer in preclinical development intended to treat Devic’s disease, an autoimmune condition that causes episodes of sight loss and paralysis. In its antibody pipeline, Pure Biologics is focusing on first-in-class immuno-oncology drugs, with colorectal, lung, and breast cancer as initial targets",Biotechnology
POLAND,Proteon Pharmaceuticals,Proteon Pharmaceuticals produces feed additives that can prevent and eliminate bacterial infections in livestock and aquaculture. The additives contain bacteriophages viruses that only infect specific strains of bacteria reducing the risk of pathogens developing antibiotic resistance,Biotechnology
POLAND,Pomeranian Science and Technology Park,"Hub of business and scientific organizations. On the one hand, it is the seat of park companies, on the other a thriving business center. The Park's mission is to actively support and create conditions for the development of initiatives and projects based on high technologies and innovation. It is also a place for meetings and exchange of thoughts for entrepreneurs, designers, scientists and enthusiasts",Biotechnology
RUSSIA,Institute of Bioorganic Chemistry,"Institute of Bioorganic Chemistry is a unique interdisciplinary scientific center that combines research in the areas of chemistry, biology and information technology. The main research topics include the synthesis and studies of the structure and functions of nucleic acids and proteins, and their components. The Institute runs a PhD Program and a Doctoral School. The IT part  is managed by the Poznań Supercomputing and Networking Center",Biotechnology
SWITZERLAND,Actelion,"Pharmaceuticals and biotechnology company established in December 1997. Focuses on the manufacture of drugs that treat rare and orphan diseases. Some of the drugs it has produced have been used to treat patients with symptoms related to central nervous system disorders, irregular heart conditions, immune system disorders and cancer. One of the focuses of Actelion is treating individuals with pulmonary arterial hypertension (PAH), a heart condition that leaves patients with a short life expectancy 7 to 9 years even with treatment",Biotechnology
SWITZERLAND,Alcon,"Pharmaceutical and medical device company specializing in eye care products. Known for its contibutions to various areas of eye care, including surgical, pharmaceutical, and vision care. The company provides a wide range of products, including surgical equipment for cataract surgery, intraocular lenses, pharmaceuticals for eye conditions, and contact lenses and lens care products",Biotechnology
SWITZERLAND,Campus Biotech,"The Campus Biotech is a Swiss institution hosting research institutes and biotechnology companies. The Campus Biotech is located in the former Merck Serono building, in Geneva. The Campus Biotech is a part of the Swiss Innovation Park",Biotechnology
SWITZERLAND,BioValley,"BioValley is the leading life science cluster in Europe, founded 1996. It connects academia and companies of three nations in the Upper Rhine Valley, namely France, Germany and Switzerland. The main objective is the greater research cooperation between companies and academia involved in the life science sectors, including pharmacology, biotechnology, nanotechnology, medical technology, chemistry and agricultural biotechnology",Biotechnology
SWITZERLAND,Novartis Institutes for BioMedical Research,"NIBR is the research arm of Novartis, a pharmaceutical company. It focuses on discovering innovative solutions in various therapeutic areas, including biotechnology",Biotechnology
SWITZERLAND,Roche,"One of the largest biotect companies, as well as a leading prodiver of in-vitro diagnostics and a global supplier of transformative innovative solutions across major disease areas",Biotechnology
SINGAPORE ,Institute of Bioengineering and Nanotechnology,"Institute of Bioengineering and Nanotechnology (IBN) is a research institution based in Singapore. It is a member of the Agency for Science, Technology and Research . The institute was established in March 2003 with the mission to conduct innovative research at the interface of bioengineering and nanotechnology.  Work on projects rangjing from drug delivery to syntetic biology",Biotechnology
UNITED KINGDOM,AstraZeneca,"Global, science-led biopharmaceutical company that develops and provides medicines for various diseases, such as cancer, cardiovascular, respiratory, and infection. It is also one of the companies involved in developing a COVID19 vaccine using a viral vector technology",Biotechnology
UNITED KINGDOM,GlaxoSmithKline,"Manufactures products for major disease areas such as asthma, cancer, infections, diabetes, and mental health. Medicines historically discovered or developed at GSK and its legacy companies and now sold as generics include amoxicillin and amoxicillin-clavulanate, ticarcillin-clavulanate, mupirocin, and ceftazidime for bacterial infections, zidovudine for HIV infection, valacyclovir for herpes virus infections, albendazole for parasitic infections, sumatriptan for migraine, lamotrigine for epilepsy, bupropion and paroxetine for major depressive disorder, cimetidine and ranitidine for gastroesophageal reflux disorder, mercaptopurine and thioguanine for the treatment of leukemia, allopurinol for gout, pyrimethamine for malaria, and the antibacterial trimethoprim.",Biotechnology
UNITED STATES,Abbott Laboratories,"Health care company specializes in cardiovascular, diagnostics, diabetes and neuromodulation products. Abbott also produces nutrition brands including Pedialyte, Ensure, Glucerna and Similac",Biotechnology
UNITED STATES,AbbVie,Discover and deliver innovative medicines and solutions that address complex health issues and enhance people's lives,Biotechnology
UNITED STATES,Acorda Therapeutics,"Biotechnology company that develops therapies to improve neurological function in people with Parkinson's disease, multiple sclerosis and other neurological disorders",Biotechnology
UNITED STATES,Advaxis,"Devoted to the discovery, development and commercialization of immunotherapies based on a technology platform which uses engineered Listeria monocytogenes bacteria. This platform is designed to stimulate the immune system to target and eliminate cancel cells",Biotechnology
UNITED STATES,Alexion,"Pharmaceutical company specializes in orphan drugs to treat rare diseases, specifically those related to disorders of the complement system which is part of the immune system involved in the inflammatory response",Biotechnology
UNITED STATES,Alnylam Pharmaceuticals,"Focus on discovery, development and commercialization of RNA interference therapeutics for genetically  defined diseases",Biotechnology
UNITED STATES,Amgen,"Focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve health outcomes and dramatically improve people's lives. A biotechnology innovator since 1980, Amgen has grown to be one of the world's leading independent biotechnology companies, has reached millions of patients around the world and is developing a pipeline of medicines with breakaway potential",Biotechnology
UNITED STATES,Amneal Pharmaceuticals,"Specializes in the development and commercialization of a wide range of pharmaceutical products, including generic medications and specialty pharmaceuticals. Their product portfolio covers various therapeutic areas, including cardiovascular, central nervous system, dermatology, gastrointestinal, and more",Biotechnology
UNITED STATES,Avax Technologies,"A pioneer in cancer vaccine development, AVAX Technologies, Inc. is an internationally integrated biotechnology company focused on developing and commercializing its AC Vaccine technology for the treatment of cancer",Biotechnology
UNITED STATES,Becton Dickinson Company,"Medical company that produces and sells various products for health care, such as medical devices, diagnostic instuments and reagents. Also involved in developing solutions for infectious diseases, cancer, medication management, and infection prevention",Biotechnology
UNITED STATES,BioCryst Pharmaceuticals,"Biotech company that develops novel medicines for complement mediated and rare diseases, such as herediatary angioedema, hemophilia, and lupus",Biotechnology
UNITED STATES,Biogen,"Global biotechnology company that pioneers science and drives innovations for complex and devastating diseases. Biogen is advancing a pipeline of potential therapies across neurology, neuropsychiatry, specialized immunology and rare disease and remains acutely focused on its purpose of serving humanity through science while advancing a healthier, more sustainable and equitable world. Founded in 1978, Biogen has pioneered multiple breakthrough innovations including a broad portfolio of medicines to treat multiple sclerosis, the first approved treatment for spinal muscular atrophy, and two co-developed treatments to address a defining pathology of Alzheimer’s disease",Biotechnology
UNITED STATES,Biovista,"Private drug development services company based in Charlottesville, Virginia, Biovista's core business activities include drug repositioning and drug de-risking as well as disease cohort analysis, adverse event prediction and clinical hold analysis services. Biovista is also applying its technology platform to develop its own drug repositioning programs in the areas of central nervous system, diabetes/obesity, eye disorders, and oncology",Biotechnology
UNITED STATES,Ceragenix Pharmaceuticals,"Ceragenix Pharmaceuticals, Inc. is a biopharmaceutical company headquartered in Denver, Colorado that develops prescription therapies based on a platform of proprietary surface active technologies—skin Barrier Repair Technology and Cerageninis, a new class of broad spectrum anti-infectives. The company discovers, develops and commercializes anti-infective drugs based on its proprietary class of compounds, Ceragenins. Active against a range of gram positive and gram negative bacteria, these agents are being developed as anti-infective medical device coatings and as therapeutics for antibiotic-resistant organisms",Biotechnology
UNITED STATES,Cold Spring Harbor Laboratory,"Cold Spring Harbor Laboratory is a private, non-profit institution with research programs focusing on cancer, neuroscience, plant biology, genomics, and quantitative biology. It is one of 68 institutions supported by the Cancer Centers Program of the U.S. National Cancer Institute and has been an NCI-designated Cancer Center since 1987. The Laboratory is one of a handful of institutions that played a central role in the development of molecular genetics and molecular biology",Biotechnology
UNITED STATES,Genentech,Genentech is a biotechnology company dedicated to pursuing groundbreaking science to discover and develop medicines for people with serious and life-threatening diseases. Our transformational discoveries include the first targeted antibody for cancer and the first medicine for primary progressive multiple sclerosis.,Biotechnology
UNITED STATES,Gilead Sciences,"Research based biopharmaceutical company focused on discovering, developiong and commercializing innovative medicines for the world's most devastating diseases, from viruses to cancer to inflammatory conditions. ",Biotechnology
UNITED STATES,Ionis Pharmaceuticals,"Ionis Pharmaceuticals, Inc. is a biotechnology company based in Carlsbad, California, that specializes in discovering and developing RNA-targeted therapeutics. The company has 3 commercially approved medicines: Spinraza (Nusinersen), Tegsedi (Inotersen), and Waylivra (Volanesorsen) and has 4 drugs in pivotal studies: tominersen for Huntington’s disease, tofersen for SOD1-ALS, AKCEA-APO(a)-LRx for cardiovascular disease, and AKCEA-TTR-LRx for all forms of TTR amyloidosis.",Biotechnology
UNITED STATES,Intercept Pharmaceuticals,"Biopharmaceutical company and wholly owned subsidiary of Alfasigma S.p.A. focused on the development and commercialization of novel therapeutics to treat rare and serious liver diseases, including primary biliary cholangitis (PBC) and severe alcohol-associated hepatitis (sAH). 
In a new age of liver disease treatment, the team is developing vital therapies to meet the needs of those living with rare and serious liver disease. Committed to improving patients’ lives and addressing the liver community’s most pressing needs.",Biotechnology
UNITED STATES,Janssen Pharmaceuticals,"Janssen Research and Development (JRD), which conducts research and development activities related to a wide range of human medical disorders, including mental illness, neurological disorders, anesthesia and analgesia, gastrointestinal disorders, fungal infection, HIV/AIDS, allergies and cancer",Biotechnology
UNITED STATES,Johnson & Johnson,"The company's major franchises in the pharmaceuticals segment include immunology, neuroscience, infectious disease and vaccines, oncology, cardiovascular and metabolism, and pulmonary hypertension",Biotechnology
UNITED STATES,Kinetic Concepts,Global corporation that produces medical technology related to wounds and wound healing. Produced the first product developed specifically for negative pressure wound therapy,Biotechnology
UNITED STATES,Melinta Therapeutics,Focuses on the design and development of novel broad-spectrum antibiotics for the treatment of antibiotic-resistant infections in hospital settings,Biotechnology
UNITED STATES,Merck & Co,"Develops and produces medicines, vaccines, biologic therapies and animal health products. It has multiple blockbuster drugs or products each with 2020 revenues including cancer immunotherapy, anti-diabetic medication and vaccines against HPV and chickenpox",Biotechnology
UNITED STATES,Moderna,"Moderna, Inc, is a pharmaceutical and biotechnology company based in Cambridge, Massachusetts, that focuses on RNA therapeutics, primarily mRNA vaccines. These vaccines use a copy of a molecule called messenger RNA (mRNA) to carry instructions for proteins to produce an immune response.The company's name is derived from the terms ""modified"", ""RNA"", and ""modern"".",Biotechnology
UNITED STATES,Northwest Biotherapeutics,Northwest Biotherapeutics is a biotechnology company that focuses on the clinical development of autologous immunotherapy products for cancer,Biotechnology
UNITED STATES,NovaBay Pharmaceuticals,Biopharmaceutical company developing anti-infective products for the eyecare and skincare markets,Biotechnology
UNITED STATES,Novavax,"Novavax, Inc. is an American biotechnology company based in Gaithersburg, Maryland that develops vaccines to counter serious infectious diseases. Prior to 2020, company scientists developed experimental vaccines for influenza and respiratory syncytial virus, as well as Ebola and other emerging infectious diseases. During 2020, the company redirected its efforts to focus on development and approval of its NVX-CoV2373 vaccine for COVID-19",Biotechnology
UNITED STATES,Pfizer,"Pfizer develops and produces medicines and vaccines for immunology, oncology, cardiology, endocrinology, and neurology1. Some of their largest products by sales are the Pfizer–BioNTech COVID-19 vaccine, Nirmatrelvir/ritonavir, Apixaban, a pneumococcal conjugate vaccine, and Palbociclib",Biotechnology
UNITED STATES,Regeneron,"Regeneron is a leading biotechnology company that invents, develops, and commercializes life-transforming medicines for people with serious diseases. Founded and led for 35 years by physician-scientists, Regeneron's unique ability to repeatedly and consistently translate science into medicine has led to numerous FDA-approved treatments and product candidates in development, almost all of which were homegrown in Regeneron's laboratories. Regeneron's medicines and pipeline are designed to help patients with eye diseases, allergic and inflammatory diseases, cancer, cardiovascular and metabolic diseases, pain, hematologic conditions, infectious diseases, and rare diseases.
Regeneron is accelerating and improving the traditional drug development process through its proprietary VelociSuite® technologies, such as VelocImmune®, which uses unique genetically-humanized mice to produce optimized fully-human antibodies and bispecific antibodies, and through ambitious research initiatives such as the Regeneron Genetics Center®, which is conducting one of the largest genetics sequencing efforts in the world",Biotechnology
UNITED STATES,RespireRx Pharmaceuticals,Biopharmaceutical company developing innovative and revolutionary treatments to combat disorders caused by disruption of neuronal signaling,Biotechnology
UNITED STATES,Sarepta Therapeutics,"Medical research and drug development company with corporate offices and research facilities in Cambridge, Massachusetts, United States. A Global biotechnology company on an urgent mission: engineer precision genetic medicine to reclaim futures otherwise impacted or cut short by rare diseases",Biotechnology
UNITED STATES,Spectrum Pharmaceuticals,"Is an American biopharmaceutical company located in Boston, MA. It develops and markets drugs for treatments in hematology and oncology",Biotechnology
UNITED STATES,Titan Pharmaceuticals,"Developing proprietary therapeutics primarily for the treatment of central nervous system (""CNS"") disorders",Biotechnology
UNITED STATES,Trivena Inc,"Involved in the discovery and development of G-protein coupled receptors (GPCR) biased ligands. Trevena's approach to drug discovery is based on utilizing ligand bias, or functional selectivity, at GPCR targets to produce drugs with improved efficacy and reduced side effect profiles",Biotechnology
UNITED STATES,Ultragenyx,"Involved in the research and development of novel products for treatment of rare and ultra-rare genetic diseases for which there are typically no approved treatments and high unmet medical need. The company works with multiple drug modalities including biologics, small molecule, gene therapies, and ASO and mRNAs in the disease categories of bone, endocrine, metabolic, muscle and CNS diseases",Biotechnology
UNITED STATES,Ventria Bioscience,Biotech company with a focus on human nutrition and human therapeutics. The company was established in 1993 in Colorado. The company's core technology is a genetically modified crop-based protein production system also called a pharming system called ExpressTec,Biotechnology
UNITED STATES,Vertex Pharmaceuticals,"Global biotechnology company engaged in the discovery and development of breakthrough small molecule drugs for serious diseases.
Discovered and developed the first medicines to treat the underlying cause of cystic fibrosis (CF), a rare, life-threatening genetic disease. In addition to clinical development programs in CF, Vertex has more than a dozen ongoing research programs focused on the underlying mechanisms of other serious diseases",Biotechnology
UNITED STATES,Viatris,"Produces and sells a variety of medicines, with 1,400 approved therapeutic molecules in its portfolio. Viatris products cover therapeutic areas including cardiovascular, infectious disease, oncology, immunology, CNS and anesthesia, women's healthcare, diabetes and metabolism, gastroenterology, respiratory and allergy, and dermatology",Biotechnology
CANADA,Kinova Robotics,"Kinova Robotics’ industrial robots are helping manufacturers automate tasks like assembly and dispensing. With the release of the Link 6, Kinova Robotics has created the first industrial collaborative robot to come out of Canada. Link 6, which specializes in applications like pick and place, part assembly and machine tending, is able to reduce cycle times with its longer reach and faster movements",Robotic
CANADA,Mecademic,"Mecademic specializes in ultra-small industrial robots capable of high-speed pick and place and lab automation with a small footprint. Its six-axis industrial robot arm, Meca500, has a reach of 330 mm and maximum payload capacity of 1 kg. With sensors and wireless connectivity, Meca500 is also capable of gathering data, the analysis of which can lead to improved efficiency through more informed decision-making",Robotic
CHINA,Hanson Robotics,"creates AI robots that not only have a human appearance, but also operate with human-like characteristics. These AI robots have life-like skin made of Hanson’s proprietary nanotechnology called Frubber and their human-like features include eye contact, facial recognition, speech and the ability to hold natural conversations. The robots can produce high-quality expressions that offer a less mechanical robotic experience",Robotic
DENMARK,Universal Robots,"The company’s industrial robots have been used by automotive companies like Continental, where changeover time — moving components from one station to the next — was reduced by 50 percent; and by Ford, where Universal’s robots work on a Romanian assembly line greasing camshafts and filling engines with oil",Robotic
GERMANY,Franka Emika,"Franka Emika’s industrial robots provide automation solutions for production and manufacturing. With seven axes and more than 100 sensors, the company’s new industrial robot, Franka Production 3, provides “human arm-like dexterity” to assembly operations. Workers can also learn how to operate the robot with no coding knowledge, making the Franka Production 3 user-friendly",Robotic
GERMANY,KUKA,Industrial robots from KUKA Robotics work across a diverse range of industries and production and manufacturing environments. They’re able to assist in ultra-clean room settings — areas with low concentrations of particulates in the air — for tasks like semiconductor fabrication. KUKA’s industrial robots are also able to assist in nuclear decommissioning and other radioactive environments where they take on dangerous tasks like handling and sorting waste,Robotic
GERMANY,Rethink Robotics,"manufactures collaborative robots, known as cobots, that perform functions for several industries. Their functions include: “pick-and-place,” the process of moving parts to and from various locations; co-packaging and end-of-line packaging; CNC machine tending; plastic injection and blow molding",Robotic
JAPAN,DENSO,"DENSO is one of the world's largest automotive suppliers of technology and components found in almost all vehicles around the globe including Toyota, Honda, FCA, General Motors, Ford, Volvo and Mercedes-Benz. Its robotics division, DENSO Robotics, is a market leader in the small industrial robots segment with over 120,000 robots installed worldwide.

In 1967, Denso started developing robots to optimise its own manufacturing processes in the automotive industry. This allowed the company to constantly improve and advance both hardware and software. Today, as the established leader in the small assembly industrial robotics segment, DENSO Robotics continues to set the benchmark in reliability, flexibility and functionality",Robotic
JAPAN,Epson,"Epson develops and manufactures its own line of industrial SCARA and six-axis robots. Epson’s more than 300 models of SCARA robots, the first of which were designed 35 years to assemble Seiko watches, range in reach from 175 millimeters to 1000 millimeters. Today, Epson’s G3-Series SCARA robots are being used by Taylor Guitars, helping the guitar manufacturer increase production of their acoustic pickups by 500 a day. The company’s six-axis industrial robots have a “folding arm” design which improves motion and increases efficiency",Robotic
JAPAN,Kawada Robotics Group,"the dual-arm industrial robot of Kawada Robotics Groups, is capable of working alongside humans in a variety of manufacturing settings. It has the ability to recognize and respond to its environment thanks to its built-in image recognition system, while 15 axes and an electromagnetic brake system on its shoulders and elbows prevent falls. When utilizing both its arms, Nextage has a maximum payload capacity of 6 kg",Robotic
JAPAN,Kawasaki Robotics,"Kawasaki doesn’t just make fast motorcycles and jet skis, it also has a thriving industrial robot division. Their robot arms can handle payloads up to 1,500 kg and are used in a diverse range of areas from sealant and adhesive application to silicon wafer transfer in the semiconductor industry. Rehkemper & Son, a building-component manufacturer, has used Kawasaki’s industrial robots to help assemble walls used in prefabricated homes",Robotic
