COUNTRY,Place,Details,Class
JAPAN,Mitsubishi Electric,"The company’s industrial robotics division specialises in vertically-articulated robots for assembly, machine-tending and tray-handling applications, providing solutions for packing, palletizing, tending, assembling, handling or processing",Robotic
JAPAN,Nachi Robotics Systems,"For arc welding applications, Nachi Robotics Systems’ industrial robots feature sensing capabilities like touch, seam tracking and laser search, which increases the ways they can be used and allows them to work on complex components. The company’s robots are also capable of working in other applications like material handling, machine tending and dispensing, where average dispensing speeds range from 500 mm to 1000 mm per second",Robotic
JAPAN,OMRON Group,"The industrial robot line from OMRON Group features both four-axis SCARA robots and six-axis articulated robots, as well as parallel robots for pick-and-place applications. OMRON’s SCARA robots are capable of assembly, precision machining, material handling and adhesive application. The company’s Viper-series robots are also well-suited for machining, assembly and material handling in a variety of industries",Robotic
JAPAN,Yaskawa Electric,"manufacturer of servos, motion controllers, AC motor drives, switches and industrial robots. Their Motoman robots are heavy duty industrial robots used in welding, packaging, assembly, coating, cutting, material handling and general automation",Robotic
SOUTH KOREA,Doosan Robotics,"Doosan Robotics’ industrial robots are able to handle and stack multiple heavy objects in busy manufacturing and production facilities. The company’s robots are also capable of loading and unloading CNC machines, like lathes and milling machines. They can also fasten screws, nuts and bolts to assemble items like thermostats, and can even take on complex tasks requiring human-like precision, like applying glue for car door junctions and heat exchangers",Robotic
SOUTH KOREA,Hanwha Corporation,"Industrial robots developed by Hanwha Corporation/Momentum work in diverse sectors, ranging from automotive to pharmaceutical. In the automotive industry, the company’s robots assist in parts manufacturing, assembly and quality control. In the pharmaceutical industry, as well as food and cosmetics, Hanwha’s robots are able to pack, load and perform pick-and-place actions",Robotic
SWITZERLAND,ABB,"ABB’s portfolio of robotics products serves several industries, including healthcare, logistics, metal fabrication, construction and fabrication. Among those products are autonomous mobile robots and RobotStudio, which is an offline programming and simulation tool for robotic applications",Robotic
SWITZERLAND,STAUBLI,"Staubli's industrial robots combine small footprints with increased speed and precision. The company’s SCARA robots specialize in high-speed assembly, packaging and palletization, while their articulated robots offer increased dexterity and flexibility to assist in machine tending, washing, deburring and polishing applications. Stäubli’s industrial robots are also capable of working in aseptic environments for pharmaceutical operations and humid settings for food and beverage applications",Robotic
UNITED STATES,Rapid Robotics,"Makes robotic solutions for manufacturing contexts. Its flagship offering is the Rapid Machine Operator, a robotic machine operator that’s marketed as a low-cost automation solution. This bare bones robot, which is set up and maintained by Rapid Robotics, is available by monthly subscription and can work in all major manufacturing sectors, from electronics to medical devices",Robotic
UNITED STATES,Apptronik,Builds robots that are designed with dexterity and safety features that enable them to function alongside human workers. The company uses technology like machine learning to develop humanoid robots that can handle difficult-to-fill jobs in industries like logistics and construction,Robotic
UNITED STATES,Boston Dynamics,"Spot robot looks like an AI dog robot, and it “has an inherent sense of balance and perception” that’s a product of an AI style the company refers to as “athletic intelligence.” Spot can be used for industrial inspections, allowing customers to use the robot remotely to navigate terrain that might be difficult or hazardous",Robotic
UNITED STATES,AutoStore,"Through the use of robotics, AutoStore aids businesses with order fulfillment solutions. AutoStore specifically delivers cube storage automation, which optimizes space efficiency. The company offers five modules in its system: robots, grids, bins, ports and controllers. Each module’s function collaborates to retrieve order products, manage and store inventory and fulfill orders",Robotic
UNITED STATES,GrayMatter Robotics,"Develops robotics and AI-based software to assist manufacturing operations. More specifically, the company strives to simplify tedious tasks by building AI brains for commercial robots. The company’s first development, Scan&Sand, is a floor operator that uses sensors to sand materials consistently",Robotic
UNITED STATES,Futronics Corporation,"Building AI service robots for the healthcare industry, which will be managed through a cloud-based platform. The company believes its digital ecosystem will elevate efficiency and user experiences while patients are receiving care. Some of the robots will perform tasks like meal deliveries, walk training and personal transportation. The company’s automated software works as a command system that assigns tasks, monitors courses and reports data utilization for each robot",Robotic
UNITED STATES,ST Robotics,"ST Robotics’ R12 industrial robot is a five- or six-axis articulated robot arm that has a reach of 500 mm and a maximum payload capacity of 1 kg, which the company bills as ideal for benchtop automation of testing and sample handling. The company’s R17 model has a reach of 750 mm and maximum payload capacity of 2 kg, which helps automate product testing, welding, spraying and other applications where access is limited or difficult",Robotic
UNITED STATES,Carbon Robotics,"Supplies the agricultural industry with innovative tools, like the Autonomous LaserWeeder, helping farmers reduce time spent weeding. The product employs hi-resolution cameras that identify crops and weeds in real-time and kill weeds — with lasers — at the meristem. The product is designed to function properly no matter the weather conditions or time of day",Robotic
UNITED STATES,Scythe Robotics,"Develops products and technology for the lawn care industry while eliminating pollution risks. The company’s flagship product, M.52, is a commercial, all-electric autonomous mower that uses semantic awareness, 3D mapping, precision localization and planning control to operate. Other features are 360 sensors, noise reduction and all-day battery life",Robotic
UNITED STATES,Piaggio Fast Forward,"Bring intuitive and efficient technology solutions into the entire human-built environment, supporting the local mobility needs of businesses, communities, and individuals. Our cargo carrying following robots, gitamini and gitaplus, were first designed for consumers to use in everyday built environments. We have since expanded our following technology to mobile solutions that businesses use to augment their labor force in select industries including hospitality, manufacturing, indoor agriculture, construction, and more",Robotic
UNITED STATES,Cruise,"Combines AI with machine learning and robotics to develop self-driving cars. The company uses AI throughout the planning, simulation and infrastructure of the car in order to ensure that these machines can visualize the world around them in real time and react safely",Robotic
UNITED STATES,Starship Technologies,"Creates autonomous robots that help to deliver items within a 4-mile radius. These AI robots are able to take items like groceries, food delivery orders or retail store orders and deliver them to customers using artificial intelligence to navigate their route",Robotic
UNITED STATES,Brain Corp,"Brain Corp’s proprietary technology makes AI robots adaptable and flexible so they can navigate unstructured environments like warehouses and store floors. The robots also have mapping, routing, surface anomaly detection, object avoidance and cloud-based data capture capabilities. EMMA, a Brain Corp robot, was tested in Walmart stores for after-hour floor cleaning",Robotic
UNITED STATES,Colorado,"Produces autonomous, zero-emission systems for yard operations to promote safety, efficiency and sustainability. The company’s technology helps cut down on repetitive manual tasks, and its management software allows for operations to be monitored on-site or remotely. Georgia-Pacific has been among Outrider’s customers",Robotic
UNITED STATES,Diligent Robotics,"Uses AI to build robotic assistants for the healthcare industry. The company’s Moxi robot is able to deliver medication and lab samples, and it’s equipped with a robotic arm that allows for navigating doors and elevators",Robotic
UNITED STATES,AMP Robotics,"Puts AI to work to automate recycling. The AI platform that powers the company’s robotic sorting system is able to recognize recyclable materials and distinguish types of plastics, papers and metals",Robotic
UNITED STATES,Elroy Air,"Autonomous aircrafts play a role in delivering goods to remote locations, where it’s difficult to get vehicles into the area or cost-prohibitive to attempt the delivery. Elroy Air uses AI in its autonomous Vertical Take-Off and Landing cargo aircraft called Chaparral. The AI robot can carry 300 pounds over a 300-mile range",Robotic
UNITED STATES,Locus Robotics,"Produces autonomous mobile robots to support warehouse operations. The Locus Max, for example, has a payload capacity of up to 3,000 pounds, while the Locus Origin comes equipped with 8 cameras and sensors so that it can maneuver to work on order fulfillment alongside human counterparts",Robotic
UNITED STATES,Bright Machines,"Microfactories solution helps companies shift toward automated electronics assembly. The company says its experts in fields like computer vision, machine learning and robotics can advise customers on how to get the most out of the Bright Machines technologies to improve productivity",Robotic
UNITED STATES,Miso Robotics,Creates AI robots for use in commercial kitchens. Its fry station robot Flippy 2 uses AI vision to recognize what kind of food employees have placed in its auto bin. Miso says the robot can perform more than twice as many food prep tasks compared to the original Flippy model,Robotic
UNITED STATES,Skydio,"Drone manufacturer using AI to develop technology for autonomous flight. Its products include the Skydio 2+ drone, which can reach a speed of 36 miles per hour and can be flown manually or autonomously with the ability to avoid obstacles and capture photos and video. The company provides solutions for multiple sectors, including public safety, defense, construction and telecommunication",Robotic
UNITED STATES,UiPath,UiPath’s Robotic Process Automation software instills AI into robots to help them perform repetitive tasks more efficiently and learn while they go. The unicorn’s AI robot software is helping robots — from retail to manufacturing — speed up tasks in an environment where they no longer have to be supervised by humans,Robotic
UNITED STATES,Neurala,"Neurala’s Vision Inspection Automation Software is meant to improve quality control to make manufacturing processes more efficient. The company says the technology can “detect challenging defect types,” yet its users don’t have to have prior AI expertise because the software is simple to set up, integrate and deploy",Robotic
UNITED STATES,Sea Machines,creates autonomous technology for the marine and maritime industry. The company’s technology connects a vessel’s machinery with navigation sensors for autonomous or remote control. The system acts as a data recorder while enabling remote missions or typical workboat routing tasks,Robotic
UNITED STATES,Veo Robotics,"creates industrial robots with 3D sensing, AI and computer vision capabilities that enhance manufacturing operations. The robots work alongside humans to make workplaces more flexible and efficient, using 3D sensors to detect objects or people nearby and, if necessary, slow or stop. The robots have been used on car assembly lines to handle heavy lifting while human coworkers perform more delicate tasks",Robotic
UNITED STATES,iRobot,"iRobot uses AI in engineering home robots like the Roomba robot vacuum and Braava mopping robots. With the Roomba, users can schedule the robot to continue cleaning while they’re gone, and the Braava robots can be directed to clean with voice commands. The company’s proprietary technology also guides the robots around obstacles while they clean",Robotic
UNITED STATES,Fanuc,"major producer of robotic products for manufacturers, with a portfolio that includes lasers, robodrills and cobots. The company also equips its products with AI-based capabilities. For example, Fanuc added an AI path control function that enhances the precision of its robots by combining machine learning with acceleration sensors to help robots improve their movements over time",Robotic
UNITED STATES,Symbiotic,"Symbotic provides organizations with a comprehensive software platform that can orchestrate the collective movements of an entire robot fleet. Through the use of artificial intelligence, the platform simultaneously connects to robotic arms, autonomous robots and other types of machines. Users of Symbotic’s platform can then coordinate different actions through controls and algorithms while collecting data to inform their processes",Robotic
UNITED STATES,CloudMinds Technology,"CloudMinds operates robots with a secure cloud network — or ‘cloud brain’ — that possesses natural language processing, computer vision and other AI abilities. The company’s Cloud Pepper leverages this technology to hold conversations with human customers in multiple languages while the Cloud Delivery Robot relies on its cloud brain to navigate different environments and map efficient routes",Robotic
UNITED STATES,NVIDIA,"NVIDIA’s Isaac robotics platform supports the development and deployment of robots for various industries. It can be used for creating virtual environments for testing robots and managing fleets of robots. NVIDIA’s artificial intelligence technologies, like the Jetson Orin AI computer, are capable of powering autonomous machines",Robotic
UNITED STATES,SVT Robotics,"SVT Robotics touts its SOFTBOT Platform as a solution for efficiently deploying robots, automation and IoT devices. The company says the platform can reduce operations costs as well as speed up onboarding time",Robotic
UNITED STATES,Comau,"Comau offers more than three dozen industrial robots with payload capacities ranging from 3 to 650 kilograms. The company’s Aura collaborative robot can be mounted upside down, has an intuitive interface for programming and is equipped with sensors to avoid collisions. Comau also produces the MATE-EXT exoskeleton, which provides shoulder and arm support to improve user’s quality of life while performing strenuous, repetitive tasks",Robotic
UNITED STATES,Anduril,"Anduril builds hardware and software products designed to solve the biggest security challenges of America and its allies. From Lattice, an AI-backed platform that integrates real-time data from Anduril and third-party systems into a single dashboard, to sentry towers and intelligent air support devices, Anduril presents mission-effective technology that deploys in hours, not years",Robotic
UNITED STATES,Outrider,"Outrider produces autonomous yard operations vehicles that improve safety and reduce emissions. Outrider also creates site infrastructure and management systems to optimize operations, with vehicles capable of tractor-to-trailer coupling and maneuvering between dock doors, parking spaces and over-the-road pickup locations",Robotic
UNITED STATES,Honeybee Robotics,"HoneyBee Robotics’ technology has been used in multiple NASA space missions (Mars visits included) since 1983. It’s also a big player in the defense, mining and oil and gas industries, making intelligent excavation systems and autonomous drills and sampling systems, among other innovations",Robotic
UNITED STATES,Ouster,"Ouster is a pioneer of the autonomous revolution, producing and manufacturing 3D lidar sensor technology that allows machines to perceive their surroundings. The company works with engineers leading the way in robotics, autonomous vehicles, mapping technology, security systems and additional areas of technological development. Its partners have included Honeywell, Kudan and Mechaspin",Robotic
UNITED STATES,General Dynamics Mission Systems,"General Dynamics Mission Systems’ Bluefin division makes unmanned and autonomous underwater vehicles for clients in the defense, commercial and scientific sectors. Offerings include more than 70 different sensors on 100-plus vehicles",Robotic
UNITED STATES,Intuitive,"Intuitive’s robots are used for minimally invasive surgery. Equipped with advanced vision technologies, energy systems, stapling and instruments, the continually upgraded da Vinci platform has been used for millions of surgeries since the late 1990s. The newer Ion platform is used for minimally invasive peripheral lung biopsies",Robotic
UNITED STATES,Nuro,"Nuro drives robotics technology to the forefront of everyday life, developing technology that helps people make more efficient use of resources, time and attention. The company’s flagship product is a line of fully autonomous vehicles made to transport goods quickly, safely and affordably, bolstered by a flexible interior design to handle errands ranging from picking up dry cleaning to delivering groceries",Robotic
UNITED STATES,RightHand Robotics,"RightHand Robotics develops adaptable robotic technology that reduces the challenges in traditional e-commerce order fulfillment. The company’s robots perform tasks like selecting and sorting handheld items to reduce the amount of time an order takes to fulfill, earning RightHand Robotics’s bots the nickname “pickers.”",Robotic
UNITED STATES,Vecna Robotics,"Used in manufacturing, warehousing and fulfillment, Vecna’s autonomous robots transport, lift and convey all types of materials in human-centric environments. They help warehouse and distribution operators move products quickly with minimal handling. The company says its platforms “dramatically increase cart pick rates by optimizing picks and automating horizontal transport, significantly reducing walking distances.”",Robotic
UNITED STATES,Oceaneering,"Oceaneering International’s fleet of remotely operated vehicles assist oil and gas companies with underwater operations. The company’s eight different robots do everything from lift massive amounts of weight to help with underwater rig inspections to  fix any problems with underwater pipelines.      

The National Oceanic and Atmospheric Administration has tasked Oceaneering International with updating navigational charts and researching marine habitats and fisheries off the coast of Florida. Oceaneering International’s Liberty E-ROV has performed 80 missions and helped reduce support vessel hours and offshore crew hours as well as eliminated 13,700-ton support vessel CO2 emissions since its launch in 2017",Robotic
UNITED STATES,Amazon,"Amazon Robotics creates and implements autonomous robots, control software and robotic language and vision sensing for its fulfillment center operations. Originally called Kiva Systems, the company uses its robots as automated storage and retrieval mechanisms throughout its vast warehouses.

The implementation of robotics has reportedly cut Amazon’s costs by up to 20 percent. The floor-roaming robots can locate and carry entire shelves or individual products to conveyor belts, which saves time and resources. Amazon Robotics announced a collaboration with MIT to create a science hub for robotics and artificial intelligence research",Robotic
UNITED STATES,Boeing,"One of the world’s largest producers of civilian and military aircrafts, Boeing uses robots to help build military planes. These robots work alongside humans to construct fuselages and are also employed as autonomous vehicles to transport heavy aircraft parts.

From robotic submarines, military drones and a space plane that launches military satellites, the company’s autonomous vehicles roam the ocean depths and outer space       

Boeing uses autonomous robots in a large portion of its military operations. The company’s Echo Voyager is an unmanned submarine that's used to ferry military equipment deep beneath the sea. The Boeing High Altitude Long Endurance unmanned aircraft can reach 65,000 feet and is mainly used for reconnaissance and missile defense",Robotic
UNITED STATES,Raytheon Technologies,"Defense contractor Raytheon designs robots to help soldiers on the ground and autonomous aircraft to defend the skies. In addition to an array of autonomous drones, the company is now working on an exoskeleton that helps logistics personnel move heavy military equipment,

One of Raytheon’s newest military robots is the “Coyote,” a drone used to track and shoot down enemy unmanned aerial vehicles. The Coyote's unique swarming ability enables tens of the small autonomous drones to gather in a group, identify enemy targets and employ attached warheads to take them out",Robotic
UNITED STATES,AeroVironment,"AeroVironment is a developer of unmanned aircraft systems for the Pentagon and dozens of other allied nations. AeroVironment’s six unmanned robots can be launched by hand for reconnaissance missions or via aircraft carrier to defend U.S. territories and ships.        

The AeroVironment Puma helps rescue and research teams survey land and gather data. It was used by the U.S. Coast Guard to chart Antarctic ice sheets and by firefighters to assist in their search for a missing colleague who disappeared during a wildfire.

The Switchblade is a much larger drone that needs to be launched and is designed for warfare. It is equipped with thermal visioning and can fire missiles with extreme precision",Robotic
UNITED STATES,Accuray,"Accuray’s robots help with cancer treatments and surgeries. Employing a variety of arms, they administer radiotherapy to affected parts of the body, including the pancreas, lungs and brain.          

The Accuray CyberKnife System is the first surgical tool that administers robotic radiotherapy. Instead of traditional chemotherapy that targets a wide area of the body, the robotic surgery tool pinpoints specific areas where cancers are found and keeps collateral damage to a minimum",Robotic
UNITED STATES,Stryker,"One of the largest biotechnology companies in the United States., Stryker makes robotic-arm assisted surgery machines. Using 3D modeling of bone anatomy, the company’s Mako robots assist surgeons in joint surgeries for partial and total hip and knee replacements.        

In June 2017, the Stryker Mako robot performed the 100,000th robotic-arm-assisted surgery in the United States when it helped surgeons complete a knee surgery",Robotic
UNITED STATES,ACEINNA,ACEINNA as a MEMS sensor and sensing solution company is focusing on innovative current sensing technology and Inertial Measurement Unit (IMU) sensing technology,Robotic
UNITED STATES,Advanced Motion Controls,"Advanced Motion Controls designs and manufactures compact servo drives for the robotics industry. Recently, it added 15 new models of FlexPro high-performance servo drives for mobile robots for secure connectivity and functionality in challenging environments",Robotic
UNITED STATES,Agility Robotics,"Agility Robotics launched the commercial version of Digit, a humanoid robot designed for classic dull, dirty, and dangerous manual labor, including basic warehouse logistics tasks. It costs in the low-mid six figures and navigates semi-autonomously, thanks to lidar and other sensors",Robotic
UNITED STATES,Apex AI,"Apex AI released Apex.OS, an open-source Robot Operating System (ROS) that offers a code base for robotics developers. Designed to ease and speed software development for autonomous vehicles, Apex.OS uses more modern programming techniques than those used in electronic control units",Robotic
UNITED STATES,ARM Institute,"ARM focuses on developing innovative technologies such as collaborative robots, machine learning, computer vision, and other advanced automation solutions",Robotic
UNITED STATES,AutoGuide Mobile Robots,"AutoGuide Mobile Robots is a leading manufacturer of autonomous mobile robots (AMRs) for material handling and automated transport in industrial applications. The company offers a range of AMRs designed to improve efficiency and productivity in various industries, including manufacturing, distribution, and logistics. Their robots are designed to work alongside humans, improving safety, reducing labor costs, and increasing throughput",Robotic
DENMARK,Blue Ocean Robotics,"Blue Ocean Robotics produced a UV-Disinfection robot, aiding in COVID-19 response worldwide. The UVD robot is an autonomous mobile robot that uses UV-C light to kill up to 99.999% of viruses and bacteria in a patient room in 15 minutes",Robotic
UNITED STATES,Bossa Nova Robotics,"Bossa Nova Robotics is a startup robotics company that manufactures inventory control robots for use in retail stores. They are best known for an attempt to use these robots in Walmart stores, in Walmart's effort to better compete with Amazon",Robotic
UNITED STATES,Built Robotics,Built Robotics is a startup that transforms heavy equipment into autonomous robots with its AI guidance system in association with the International Union of Operating Engineers ,Robotic
GERMANY,Energy Robotics,"Energy Robotics and ExRobotics launched the ExR-1, the world’s first commercially available IECEx/ATEX certified explosion-proof, mobile ground robotics system for remote inspection for oil and gas (O&G) operations",Robotic
UNITED STATES,Exyn Technologies,"Exyn Technologies offers Advanced Autonomous Aerial Robot (A3R), a fully autonomous aerial system for data collection in GPS-denied environments, including for mapping and inspection of underground mines",Robotic
UNITED STATES,FAULHABER MICROMO,"MICROMO and the FAULHABER Group specialize in the design, assembly and application of high-precision, miniature DC drive systems, components and controls. This includes everything from highly customized DC motion control systems to our versatile, standardized, off-the-shelf products. We are ISO 9001 certified",Robotic
UNITED STATES,Fetch Robotics,"Fetch Robotics, the pioneer of on-demand automation with autonomous mobile robots, is now part of Zebra Technologies. 

Our FetchCore Cloud Robotics Platform provides the only autonomous mobile robot, or AMR, solution that deploys in hours versus days or weeks and addresses multiple applications—including material handling and data collection—with a common, unified, cloud-based platform",Robotic
UNITED STATES,Formant ,"Formant provides ease of use, remote control, and analytics in a cloud-based robot management platform that enables organizations to monitor robot fleets in real-time, look deeply into their operations, and take remote control of individual robots if needed",Robotic
UNITED STATES,Gatik,"Gatik provides Level 4 autonomous vehicles like light trucks and vans for middle-mile delivery applications. Restricted to the rightmost lane, the vehicles can operate on fixed, repeatable routes about 15 times per day",Robotic
UNITED STATES,Geekplus Technology,"Geekplus is a global technology company leading the intelligent logistics revolution. We apply advanced robotics and smart technologies to realize flexible, reliable, and highly efficient solutions for warehouses, factories, and supply chain management",Robotic
UNITED STATES,Harmonic Drive,"Harmonic Drive, a leading producer of servo actuators, gearheads, and gear components, opened a newly constructed, manufacturing and R&D facility in Beverly with heavy equipment and specialized machinery used to manufacture high-precision gears",Robotic
UNITED STATES,Intel Corp,"The Intel RealSense LiDAR Camera L515, optimized for indoor applications such as warehouse robotics, features a proprietary micro-electro-mechanical system (MEMS) for enhanced precision and resistance to shock, temperature fluctuations, and vibration",Robotic
UNITED STATES,MassRobotics,"MassRobotics is an independent, non-profit organization serving as an innovation hub for robotics and smart connected devices. It expanded its robotics innovation center in Boston to nurture innovations in industrial automation, human-machine interaction",Robotic
SWITZERLAND,Maxon Motors,"manufacturer and supplier of high-precision motor systems. The group, including its subsidiaries, offers electric AC motors, DC motors, encoders, gears, motor controllers, and sensors",Robotic
UNITED STATES,Microsoft,Microsoft released the Robot Operating System (ROS) for Windows 10. This widely used open-source platform provides robotics developers with a variety of powerful libraries and tools for developing and deploying robotics solutions,Robotic
UNITED STATES,New Scale Technologies,"micro-manufacturing company providing small motion systems. It serves the mobile products, medical devices, defense and security systems and industrial instruments",Robotic
DENMARK,OnRobot,"Provide small and mid-sized manufacturers with a full line of innovative Plug & Produce solutions for collaborative robot applications. Our electric grippers, force/torque sensors, tool changers, vacuum grippers and award-winning Gecko technology help manufacturers gain the full advantages of automation, including ease of use, cost-effectiveness, and safety alongside human workers",Robotic
NEW ZEALAND,Robotics Plus,"Robotics Plus, an agricultural robotics and automation supplier, launched its Automatic Log Scaler (ALS), the world’s first automated logging truck scaler, designed to increase productivity and reduce injuries",Robotic
UNITED STATES,Sarcos Robotics,Sarcos Robotics commercialized Guardian XO full-body exoskeleton for industrial use. The exoskeleton can help humans lift 35 to 200 pounds and reduce the risk of injury. It is designed to be worn for an entire shift and can run for up to eight hours on a single charge,Robotic
SWITZERLAND,Sevensense Robotics,"Sevensense is accelerating technological innovation in the service robotics industry by enabling robots to safely and autonomously navigate in dynamic spaces shared with humans, in- and outdoors. We strive to empower enhanced ease in the integration and use of mobile robotics through our solution that can be applied to any kind of mobile ground machine, from forklifts to delivery and cleaning machines, at minimum installation time",Robotic
GERMANY,SICK Inc,"Global manufacturer of sensors and sensor solutions for industrial applications. The company is active in the areas of factory and logistics automation and process automation.
The company is particularly well known for its laser scanners, which are used as sensors in the fields of facility protection (security), ports and robotics",Robotic
UNITED STATES,Silicon Valley Robotics,"The largest cluster of robotics and AI technology innovation and investment in the world. We are a non-profit organization started by the robotics and AI industry to support the emerging new robotics and AI industry, including agricultural, medical, social, retail, logistical, transport and space robotics networks",Robotic
UNITED STATES,Soft Robotics,"Soft robotics is area in robotics in which robots, more specifically robotic actuators, are modeled based on how living organisms move and adapt to their surroundings",Robotic
UNITED STATES,Waymo ,"Self driving car company that Google spun off in 2016. It leads the pack of autonomous vehicle developers, setting the stage for what could be a massive transformation in personal mobility",Robotic
UNITED STATES,PracticePoint,PracticePoint is a membership-based research and development facility located at Worcester Polytechnic Institute and designed to accelerate the release of new healthcare technologies. It provides a state of the art facility where companies can test their new technologies in real-world settings while leveraging the knowledge and experience of WPI's faculty and research staff,Robotic
